epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,9002.59,0.6631,0.3169,0.80862,0.49751,0.49509,0.32831,0.09557,2.98492,1.3152,1.62465,0.007789,0.007789,0.007789
69,9134.72,0.66118,0.31621,0.80852,0.4979,0.49506,0.32906,0.09567,2.98536,1.31412,1.62456,0.007756,0.007756,0.007756
70,9266.71,0.66377,0.31722,0.80942,0.49774,0.4948,0.32929,0.09554,2.98745,1.31356,1.62536,0.007723,0.007723,0.007723
71,9397.65,0.66013,0.31555,0.80845,0.49766,0.49432,0.32893,0.09546,2.98992,1.31454,1.62678,0.00769,0.00769,0.00769
72,9529.26,0.65812,0.31428,0.80818,0.49766,0.4935,0.32829,0.09524,2.9914,1.3162,1.62791,0.007657,0.007657,0.007657
73,9661.9,0.65684,0.3143,0.80802,0.49776,0.49293,0.32771,0.09508,2.99396,1.31707,1.62942,0.007624,0.007624,0.007624
74,9793.2,0.65451,0.31307,0.80789,0.49749,0.49259,0.32706,0.09493,2.99517,1.31758,1.62956,0.007591,0.007591,0.007591
75,9925.66,0.65513,0.31254,0.80764,0.49745,0.49285,0.32648,0.0948,2.99573,1.3184,1.62999,0.007558,0.007558,0.007558
76,10057.3,0.65282,0.31189,0.80783,0.49749,0.49269,0.32594,0.09421,2.99693,1.31903,1.62989,0.007525,0.007525,0.007525
77,10189.3,0.65039,0.31107,0.80693,0.49794,0.49365,0.3258,0.09407,2.99707,1.31939,1.62921,0.007492,0.007492,0.007492
78,10321.5,0.65025,0.31044,0.80717,0.4994,0.49448,0.3269,0.0942,2.99765,1.32,1.62889,0.007459,0.007459,0.007459
79,10453.9,0.65015,0.31094,0.80725,0.50086,0.49513,0.32766,0.09431,2.99872,1.32045,1.62871,0.007426,0.007426,0.007426
80,10585.8,0.64881,0.30988,0.8073,0.50124,0.49512,0.32768,0.09424,2.99853,1.32113,1.62814,0.007393,0.007393,0.007393
81,10718.3,0.64647,0.30849,0.80686,0.50174,0.49528,0.3283,0.0943,2.99908,1.3213,1.62806,0.00736,0.00736,0.00736
82,10850.4,0.6453,0.30838,0.80619,0.5025,0.49539,0.32878,0.09423,2.99997,1.32274,1.62844,0.007327,0.007327,0.007327
83,10982.4,0.64432,0.30774,0.80607,0.50207,0.49561,0.32852,0.09413,3.00101,1.32349,1.62888,0.007294,0.007294,0.007294
84,11114.7,0.6428,0.30675,0.8063,0.50234,0.49594,0.32914,0.09421,3.00132,1.32335,1.62882,0.007261,0.007261,0.007261
